id,rdf:type,dct:rights/cc:attributionName,dct:rights/karstlink:licenceType,dct:rights/dct:created,dct:rights/dct:modified,dct:rights/cc:attributionURL,rdfs:label,gn:alternateName,schema:containedInPlace,w3geo:latitude ,w3geo:longitude,w3geo:altitude,dwc:coordinatePrecision ,karstlink:length ,karstlink:verticalExtend,karstlink:extendBelowEntrance,karstlink:extendAboveEntrance,gn:countryCode,karstlink:discoveredBy,karstlink:hasAccessDocument/dct:creator,karstlink:hasAccessDocument/dc:language,karstlink:hasAccessDocument/dct:title,karstlink:hasAccessDocument/dct:description,karstlink:hasDescriptionDocument/dct:creator,karstlink:hasDescriptionDocument/dc:language,karstlink:hasDescriptionDocument/dct:title,karstlink:hasDescriptionDocument/dct:description
4188,karstlink:UndergroundCavity ,EspeleoIndex,CC-BY-NC,,2020-12-25 04:22:06,https://www.espeleoindex.com/,"ARNAU, COVA D'","ARNAU, COVA D'",,40.829355,0.330437,,,10,8,,,,,,,,,EspeleoIndex,CA,,Petita cova inèdita a la zona de Llinars (el Port)
4187,karstlink:UndergroundCavity ,EspeleoIndex,CC-BY-NC,,2020-12-24 09:28:55,https://www.espeleoindex.com/,"CASA FALSA, COVA FALSA DE LA","CASA FALSA, COVA FALSA DE LA",,41.71457,2.245495,,,13,12,,,,,,,,,EspeleoIndex,CA,,Curiosa concavitat a Montmany de Puiggraciós
4186,karstlink:UndergroundCavity ,EspeleoIndex,CC-BY-NC,,2020-12-24 09:23:33,https://www.espeleoindex.com/,"CASA FALSA, COVA INFERIOR DE LA","CASA FALSA, COVA INFERIOR DE LA",,41.714211,2.245727,,,6,0,,,,,,,,,EspeleoIndex,CA,,Petita cova en els travertins de Montmany de Puiggraciós
352,karstlink:UndergroundCavity ,EspeleoIndex,CC-BY-NC,,2020-12-23 06:37:14,https://www.espeleoindex.com/,"BARRANC, AVENC DEL","BARRANC, AVENC DEL",,41.353152,1.93295,,,15,8,,,,,,,,,EspeleoIndex,CA,,Ínfim avenc de 8 metres a Vallirana
972,karstlink:UndergroundCavity ,EspeleoIndex,CC-BY-NC,,2020-12-23 06:32:36,https://www.espeleoindex.com/,"PEI, AVENC","PEI, AVENC",,41.35166,1.936126,,,13,6,,,,,,,,,EspeleoIndex,CA,,Ínfim avenc de 6 metres de fondària a Vallirana.
4185,karstlink:UndergroundCavity ,EspeleoIndex,CC-BY-NC,,2020-12-21 14:45:37,https://www.espeleoindex.com/,"BOSQUET, COVA DEL","BOSQUET, COVA DEL",,41.283196,1.072836,,,17,1,,,,,,,,,EspeleoIndex,CA,,"Cova als Solans de Cisterer, Mont-ral."
4184,karstlink:UndergroundCavity ,EspeleoIndex,CC-BY-NC,,2020-12-21 05:12:21,https://www.espeleoindex.com/,"FALCÓ, COVA DEL","FALCÓ, COVA DEL",,41.284968,1.073939,,,14,1,,,,,,,,,EspeleoIndex,CA,,"Cova als cingles dels Motllats, Mont-ral."
329,karstlink:UndergroundCavity ,EspeleoIndex,CC-BY-NC,,2020-12-20 13:00:16,https://www.espeleoindex.com/,"CARENA DEL MAS, AVENC DE LA","CARENA DEL MAS, AVENC DE LA",,41.35296,1.931264,,,17,8,,,,,,,,,EspeleoIndex,CA,,Petit avenc de 8 metres de fondària a Vallirana
4183,karstlink:UndergroundCavity ,EspeleoIndex,CC-BY-NC,,2020-12-19 12:41:06,https://www.espeleoindex.com/,"BALADRONS, COVA DE","BALADRONS, COVA DE",,41.455658,0.705068,,,6,1,,,,,,,,,EspeleoIndex,CA,,"Balma obrada a la vall de Baladrons, el Cogul."
4182,karstlink:UndergroundCavity ,EspeleoIndex,CC-BY-NC,,2020-12-18 10:51:09,https://www.espeleoindex.com/,"PUNTA DE LA VALL DEL PASTOR, COVA DE LA","PUNTA DE LA VALL DEL PASTOR, COVA DE LA",,40.81496,0.39374,,,25,12,,,,,,,,,EspeleoIndex,CA,,Petita cova ascendent a la Vall del Pastor (el Port)
